영화제목,영화링크,평점,댓글
디지몬 어드벤처 라스트 에볼루션 : 인연,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192613&target=after,10,디지몬을 보면서 울컥할 줄 누가 알았을까.
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,2,티비로 보는것도 아깝다 유치유치
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,1,내가 지금까지 본 좀비물 중 최악이었어요.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,진짜 유연석 팬심으로 끝까지 앉아있었다...엉성한 스토리에 수준낮은 웃음포인트.. 1편은 나름 재밌게 봤는데 왜이래
82년생 김지영,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=179482&target=after,2,52년생 김지영이면 ㅇㅈ
프리즈너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194285&target=after,10,21세기 한국 영화 중 역대급이다. 꼭봐라 두번봐라
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,6,스토리를 기대해선 안되고초반에 질질 끌다가 갑자기 내용전개되다허무하게 끝납니다차량액션 말고는 볼게 없었네요
졸업,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=10453&target=after,7,"엄마는 차에서 후회될 결혼생활을 낳았고,딸 역시 차(버스)에서 후회될 결혼생활의 시작을 보여준다. 어떤 목표인지도 모르고 무작정 미쳐서 달리는 그 자체의 즐거움과 집중이 쾌감을 주지만... 결국 스스로 그 목표가 무엇인지도 몰랐을만큼 무지했다면 결과는 허탈과 공허할 수 밖에..."
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,어린친구들이 보고 잘못된 생각할까바 걱정되는 심각한 사상을 가진 영화...
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,2,좀비가 무슨 레이더가 달린건가?암벽도타고 문도부시는 좀비가 걷는사람하나 못이길때도있고 그냥 막 끼워맞춘영화..
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,"강철비 3  는 해군에서  나오겠네요정우성배우 좋아하지만  젊은대통령 이미지 안어울림  그냥 전체적으로  고장관념을 깨는영화배우, 배역, 스토리, ost  등저는 좋았습니다"
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,평점 낮은거 높은거 둘다 알바라 생각하면 되고 그냥 볼만함 개그요소도 틈틈히 있고  억지스러움이 있지만 잠수함 장면부터 정말 재밌음
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,7,통수권자 세명이 납치되는 과정의 허술함과 잠수함의 좁은 방한켠에서 셋이 이야기하는 장면이 너무 길고 지루함. 한국대통령의 미화. 미대통령의 억지코믹. 이부분은 이영화에서 재미없었던 포인트구요. 전체적인 한반도의 정세나 국제정치적인 스토리는 조금이라도 국제정세에 관심이 있는사람이라면 공감하고 있을법한 짜임새라고 생각할것같아요. 그리고 잠수함전투씬은 꽤 재밌게 봤습니다. 같이 상영중인 반도에 비해서는 훨씬 재밌지만 이영화 하나만 놓고 영화관에서 볼지말지를 정한다면 나중에 티비에서 꺼내보는게 더 나을영화같네요 그래도 스토리는 좋았습니다
빅샤크3: 젤리몬스터 대소동,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194799&target=after,4,스토리가 좀 엉성해요~ 중간쯤은 너무 지루해서 7살 아이도 딴 짓 하더라구요~ 유아가 보기 적당한 듯해요~ 젤리괴물이 좀 귀여운 것 빼곤 별루 볼게 없어용~
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,뭘봐도 재밌단 말 거의 안하는 남편이 재밌다고 하던데 평점 테러하는것도 알바들 같음. 자기가 보고 판단들 하시길.
작은 연못,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=63268&target=after,10,6.25의 역사를 알아야한다. 노근리 양민학살사건..
추억의 마니,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=127858&target=after,10,눈물나오는 거 꾹 참았는데 마지막에 마니가 손 흔드는 걸보고 눈물이 터졌어요
미녀 삼총사 3,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186611&target=after,1,"영화 겁나 천박해. 남자들은 다 멍청이고 알고 싶지도 않은 LGBT와 걸스캔두애니띵ㅋㅋ까구있네. PC병, 사상강요, 감독이 전달하려는 관객을 향한 오만함. 액션은 리듬도없고, 힘도 없이 느려진 동작의 답답함과 쓸때없는 말한마디로 틱틱거리림. 아니.. 그래도 보려고 참아봤지만 구닥다리 전개로 몰입이 안됨. 멍청이들끼리 헤헤~거리다가 옆에서 안웃으면 이해 못하냐고 비웃는 느낌임."
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,3,재미가 너무 없었어요 살짝 잔인한내용도 들어있고 상영하는동안 다음 내용이 예측되면서 뻔한결말
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,한국인의 유치한 세계정세관이 들어나는 영화.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,북조선영화 안봅니다.북한 미화 이젠 그만하죠
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,강철비 ..조연분들이 연기짱입니다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,9,"연기도 좋고 재미도 있고, 코로나로 지친 일상에 가족과함께 좋은시간보냈어요"
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,4,스토리며 연기며 다 별로임. 비추입니다. ^^;;;
나의 청춘은 너의 것,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188361&target=after,1,아.재.밌.다.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,"이 영화 보면서 헌트 포 레드옥토버, 크림슨 타이드, 헌터킬러, 심지어 에어포스 원까지 이들영화에서 많은 부분들을 따왔구나 하는 생각이 들었다. 하지만 이들영화들과 비교해서 결코 일도 밀리지 않는다는 결론이다. 백번 떠들어 뭐하랴. 반드시 극장에 가서 관람하시길. 아직도 심장이 콩닥거림."
그녀는 거짓말을 너무 사랑해,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=109944&target=after,9,"오랜만에 풋풋한 감성을 느낄 수 있었고, 노래도 좋고 재미있게 잘 보았습니다."
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,6,뭐 그냥 영화관까지 가서 볼만한 영화는 아니지만 구냥 킬링타임으로 기대없이 볼 수준. 강철비2보단 나음 ㅋㅋㅋㅋ
범털,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=193801&target=after,10,"기대 1도 없이 봤는데, 너무 재밌다. 인생드라마. 시나리오가 너무 좋다."
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,
소드 마스터: 절대 강호의 죽음,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=151132&target=after,10,여주 한년들보다 훨 이쁘고 영화가 커엽
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,기대안하고봤는데 잼있네... 재미없다고 하는애들은 헐리웃블럭버스터를 기대한게냐? ㅋ 구하소서 개봉한줄왔다가 온김에 봤는데 안봤음 후회할뻔했네..최근영화중 그나마 꿀잼임~~
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,강철비1 재밌게봐서 2도 보러갔어요. 정치적 감정을 버리고 보시면 재밌게 볼거라생각합니다(개인적으로 중립적이라기보단 약간 기울은 느낌이라). 세 나라 정상들이 모였다는 소재가 재밌네요.
악질경찰,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=153580&target=after,10,재밌다 이선균 연기 잘한다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,"좌파영화이면 재미라도 있던가. 재미도 없고 억지감동 밖에 없다. 쿠데타+ 잠수함+ 납치 소재는 외국영화 ""헌터킬러(20OOO작)""  그대로 따라해놓고 재미도 없냐."
빅샤크3: 젤리몬스터 대소동,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194799&target=after,1,영화는 재밌었는데30대 40대 아줌마들이 데리고 온 애들이 너무 시끄러워서 별로네요. 3040 아줌마들 극혐.
시간이탈자,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=124025&target=after,9,너무 재밌었음... 범인나올씬들은 심장 터지는줄 ..ㅠㅠ 배우들 연기가 다했다...감동임스토리는 신박해서 좋았음
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,어떤 정치적 성향 가진 사람만 좋아할듯
사마에게,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184571&target=after,10,아유 열받으면서 봤네 인간들 살면 뭐 얼마나 오래산다고 폭격하고 난리야 러시아 공군이 왜 시리아에 폭격하고난리야 시리아에 눈이 내린거 보고 깜놀 한국은 강원도 빼고 눈이 안오는데시리아에 눈이 그렇게 많이 내리다니
팬,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=119431&target=after,10,2편은 꼭 보고싶을정도로 인생영화에 꼽을정도다. 말 다했네 이정도면
튼튼이의 모험,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=162423&target=after,7,"나아진 것 없는 똑같은 삶이어도 간다, 우리네 인생. 이생망 씁쓸한 뒷맛은 남아도 응원하게 되는 튼튼이들. 상황 설정하고 애드립으로 대사 주고 받게 한 듯한 어설픈 대화들의 매력."
더 넌,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=168049&target=after,8,깜짝 놀래키는게 아닌 분위기로 사람을 무섭게하는 이런게 공포영화라고 생각합니다. 내가본 영화중 손에꼽을정도로 분위기 무섭고 좋았음
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,다른 사람들이 아무리 뭐라해도 이건 내 인생 영화였음
양자물리학,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=187629&target=after,10,박해수 캐릭터 전무후무 매력쩐다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,재밌어용 영화니까 영화로봐요정우성 찐잘생김
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,반개도아깝다. 이걸왜보냐. 차라리 가세연이 더재밌겠다.
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,6,라스트오브어스 + 레지던트이블 + 매드맥스  + 한국신파
야수,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=40882&target=after,10,유강진도 주연일수 있는데.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,9,"영화로만 보면 재밌음!!실제가 아닌 영화라는 걸 생각하며, 보이는 대로 보면 즐겁게 관람할 수 있음"
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,악역의 대의명분이 조금 허술한 것 빼면 나머지 다 좋음
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,저의 직장 동료들이 강철비2 시리즈 영화 엄청 재미 있으면서도 감동적인 영화라고 꼭 보라고 해서 주말 일요일에 친구들과 영화보러 갔습니다 강철비2 영화를 집중있게 보고 느낀점은약간 임진왜란 전쟁과 6.25전쟁 이 갑자기 생각이 나더라구요그리고 이번 영화에서 정우성 배우님 이 대한민국 대통령 역활로나오셨는데 진짜 경제 부분도 그렇치만 정상회담 에서 통일 할수 있게 최선을 다하는 그런 모습을 보니까 감동적이 였고 또한북한 위원장 님과 미국 스무트 대통령님 을 탈출하게 만드신 장면을보고 제가 좀 울었습니다 정우성 대통령님 이 혼자 남은 상태 였습니다 그리고 잠수 부함장님 이 마지막 대사에서 대통령님 이제 여기까지 인거 같습니다  이말 할떄 너무 감동적이였습니다 그리고 그 말을 듣고 정우성 대한민국 대통령님이 네 고생했습니다 이제 기도할 수밖에 없습니다 이런 말을 하셨는데부함장님이 기도 어떻게 하는겁니까 하시니까 두분 영웅들 끼리손을 꼭 잡으면서 제발 살수있게 도와주시 없어서 기도를 하는 모습을 하는 순간 기적적으로 미국 잠수함 한국 잠수함 들이북한 잠수함 이 희생 할려고 미사일 을 쏘게 되였는데 재 기억으로 5m 거리에 가까운 미사일 앞뚜고 있었다 근데 기적적으로 한국 미국잠수함 들이 북한 잠수함 미사일 을 자폭을 터트리게 만들어 주었다그래서 대한민국 정우성 대통령님과 전설의 잠수함 부함장님 이살수 있게 되었다 그래서 그 마지막 장면에서 인사 깊이간직하게 되었다. 그 기억들이 죽을 때까지는 기억에 남을 것이다이 영화보고 정우성 배우님이 대한민국 대통령 하면 어떻게 될까그런 생각까지도 해본적이 있다 그래서 정우성 대통령님 이 대한민국 대통령 해보는것도 나쁜짓 않을것 같은 그런 생각을해봤습니다. 전쟁영화 또한 경제 적으로 관심이 많으신 분들은 꼭 강철비2 영화 추천 해드리고 싶습니다 재 평과 내용이 여러분들 한테 도움이 되셨다면 따봉 버튼 많이눌러 주셨으면 좋겠습니다 이상으로 재 평과 이야기를 마치겠습니다감사드림
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,7,뭔가 긴박한 듯 전개되고는 있으나 느슨합니다.. 그리고 잠수함씬에선 문득 <헌터 킬러>가 떠오르기도 했지만 긴박감은 비할 바가 못되었습니다.. 다만 현재 한반도 정세에서 국민으로서 한번은 생각해 볼만한 주제였다고 생각합니다.. 국가만 밀어붙이는 반쪽짜리 숙원이 아닌 국가와 국민 모두 한마음으로 추진하는 그런 방향이 되기를 말이죠.. 대한민국은 잘 해나갈 것입니다..
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,번역해주느라 시간 다씀이것때문에 되게 루즈해짐어쩔 수 없는 연출이었겠지만....
후난성 전투,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=156412&target=after,1,보다 껐다
감쪽같은 그녀,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=171752&target=after,10,"쉬는 날 집에서 편하게 영화 보고싶어서 아무 생각 없이 틀었는데 .. 진작에 개봉할때 영화관에서 볼 걸 그랬나봐요.. 정말 감동적이고, 휼륭한 영화에요 . 나문희 님의 연기는 말 할 것 없이 훌륭하시고, 아역배웅 연기도 정말 감명깊었어요."
지저귀는 새는 날지 않는다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194693&target=after,7,뭔가 기대를 많이 했는데 기대를 한 것 치고는 그렇게 재미있지는 않았어요ㅜㅠ 그치만 성우 목소리들은 너무 좋았습니당ㅎ그리고 엔딩이 전 적어도 둘이 서로 몸 섞는 장면까지는 나올 줄 알았는데 안 나와서 조금 실망...끝나는 부분이 살짝 애매하더라구요. 그래도 적절한 타이밍에 나와서 관람할 수 있어서 좋았습니다. 못 봤더라면 미련으로 남았겠죠
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,정말 지금 국가관계를 너무 잘 나타내주었고 대통령과 밑에 있는 하급관리들의 생각이 이렇게 다르다는 것도 알게되었습니다. 국민을 생각하는 대통령의 책임감도 느꼈습니다. 배우들의 연기가 몰입력짱
악마는 프라다를 입는다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=60484&target=after,10,
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,8,"악평이 많아서 완전 기대안하고 볼 생각도 없었는데, 친구가 보고싶다해서 내리기 직전인 지금 봤거든요. 근데 생각보다 괜찮아서 놀람... 너무 기대안하고 봐서 그런가 ㅋㅋㅋ 액션도 좋고, 자동차 씬은 사운드 짱짱해서 타격감이 너무 좋음!! 배우들 연기도 좋고.. 물론 스토리는 정말 단순합니다... 근데 킬링타임용으로는 괜찮았음!!! 편한 맘으로 보세요 ㅋㅋ"
디지몬 어드벤처 라스트 에볼루션 : 인연,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192613&target=after,10,"어른이 되는 과정은무언가를 상실해가는 과정이다.가장 소중했던, 이제는 다시 만날 수도, 찾을 수도 없는, 그 무언가를.그 상실감을 딛고 일어나야, 비로소 어른이 되는 것이다."
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,저는 재밌게봤어요ㅎ유연석배우보러간건데 정우성님♡
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,6,"영화를 너무 질질 끄는 느낌적인 느낌.... 너무 기대를 많이하고 봤나 봄  부산행에 ""반도"" 못함!!"
백두산,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=187940&target=after,5,한국적 신파.... 이병헌 영화 최근에 본게 남산의 부장들인데 그건 딱히 한국적 억지감동 신파도 없이 담담하게 풀어서 좋았는데... 이 영화는 그저 그런 뻔한 스토리에 한국적 신파 섞인 영화. 배우들이 아까움.
돈,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=163608&target=after,10,
트로이,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=37742&target=after,10,인생영화등극...긴장감 장난아니에요
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,이것도  영화여  유치원생이  만들어도 이것보다는  났겠다  나라 격떨어진다 세계 영화 시상식 에서  상받은것  돈주고 상  산겨  이따구  영화를 돈주고 보다니  현정권 추앙하는 기래들 말장난  영화
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,1,OO나올라다가더워서 강있었슴절대로 보지마세요OO 무슨추천을 하라는거야
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,5,너무 기대했는가...나와서 관람료 반도!!!라고 말하고 싶었다
플립,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=76309&target=after,10,넘 귀여워요  순수해요  사랑스럽구요
풀 스피드,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=158503&target=after,8,완전 재밌게 봤어요~^^
소년시절의 너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192066&target=after,10,너무 감동적인 영화이고 너무 여운이 남는다..여자 주인공 연기 너무 잘한다 ㅠㅠ남자주인공 너무 멋짐 가슴아픈 영화 대륙영화에 탑탑 영화
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,시간낭비 쓰레기 영화...
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,ㅋㅋ이러니 개콘이 망하지ㅋㅋㅋ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,영화는 영화일뿐 왜 여기서 정치가 거론될까...창작물아닌가?아직도 구시대같다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,일을 너무 크게 벌인듯.... 그러나 잠수함 씬의 긴박함은 인정.
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,1,
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,재미있게 잘 보았습니다.^^
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,국민대다수가 토나오는 허접영화라고 하면 그냥 그게 맞는 얘기인거지 너혼자 재밌게 봤다고 하면 니말이 진리냐?? ㅋㅋㅋ 아메바냐? 니 대가리는? ㅋㅋㅋ 손익분기점 4백만이라는데 어차피 2백만도 힘들다 이제 ㅋㅋ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,별점이 마이너스가 없는게 아쉽다 태어나서 처음으로 리뷰 쓰는데 다른사람도 꼭 리뷰를 보고 아까운시간 버리지않길바라는 마음에 쓴다 시작하고부터 너무 지루해서 계속졸다가 결국엔 극장나갔다 염정아배우분 정우성배우분 연기가 갈수록 퇴보한다
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,7,염정아 .... 2번이나 그런씬을 넣은 이유가 뭐죠? 뭔가 영화 격이 확 떨어지는기분;
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,4,어이가없네~? 10자
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,대한민국의 현실을 직시하게 해 준 감동적인 영화입니다.강대국들과 엉켜있는 우리 나라가 가야할 길을 알려주고 있어서좋았어요.양우석감독님 대단하시네요.정우성배우님 정말 멋있어요.헐리우드영화 다 이길 수 있을거에요. 화이팅!!!!
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,1,ㄹㅇ 노잼 이다 OO 여친이 화났다 책임져라
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,7,재밌지도 않고 막 긴장감이 넘치는것도 아니고.. 그렇다고 재미없다고 할 정도는 아니고 그냥 볼만한 정도..?
어린 의뢰인,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=180169&target=after,10,우연히 유튜브에서 접하고 보게됐다 다빈역과 새엄마의 연기가 너무 소름끼쳤다 이게 실제 사건으로 만들었다니.. 아동학대가 의심되는 데엔 무조건.. 혹시나 설마 하는 모른 척 말고... 오지랖을 발휘하자...
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,졸라 유치함. 감상 포인트 없음.
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,4,너무시시함~~~
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,1,와~~~~이딴걸350만이나봐 ㄷㄷ 한국인들 수준ㅋㅋ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,미국대통령은 개그맨 꽁트인듯
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,재미있게 잘봤습니다.
퍼펙트맨,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=180390&target=after,10,조금 진부해도 이건 인정이지
아쿠아마린,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=44449&target=after,10,내 어릴적 인생영화♥ㅎㅎ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,나는재밌게봤다ㅜ곽도원 당신은 도덕책ㅜ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,10,시간 가는 줄 모르고 재밌게 봤어요!
프리즈너,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194285&target=after,1,이게 뭐야....
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,2,그냥 보지마세요. 올해 최악.
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,1,정말 아무것도 안남는 최악의 영화
혐오스런 마츠코의 일생,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=58333&target=after,10,사랑 받고 싶었던 여자가 사랑 때문에 어떻게 망가지는지 보여주는 영화 여운이 길게 남고 생각이 많아진다 우리 모두는 혐오스러운 일생을 살고 있다
국가대표,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=47385&target=after,10,지금 봐도 잼있고 슬프네...요즘 억지감동 스토리가 아닌 뭔가 진심어린 가슴속에서 나오는 감동 ㅠ 하정우는 이런영화 또 안찍나
어스,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=181414&target=after,1,미국인은 가정당 한개의 총을 소유 하고 있습니다. 이것만 알아도 이영화가 얼마나 개연성이 없는지 알수있음
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,9,우리나라가 한미일 동맹국이라는게 무색하게 결정권이 없는  나라라는게 영화 보는내내 속상했다. 미국대통령 연기보면서 짜증이 났지만 집중해서 잘본영화
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,9,우리나라가 한미일 동맹국이라는게 무색하게 결정권이 없는  나라라는게 영화 보는내내 속상했다. 미국대통령 연기보면서 짜증이 났지만 집중해서 잘본영화
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,8,영상 내용 연기 넘넘 잼나게봤습니다  반도보다 헐  낳거같에요  전요  아문튼 잼나게봫어요
#살아있다,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189537&target=after,10,"마지막 헬기 나타날때눈물남,나만 잼있는건가?ㅜ"
강철비,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=155665&target=after,8,생각보다 괜찮아요 2나와서 먼저 개봉했던거 챙겨봤는데 정우성이 왜 다시 나오나 했더니 대통령으로 나오네요 이건 강철비2가 아니라 아예 다른 이름으로 했어야하지 않나 싶기도하고 ㅋ ㅋ
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,6,"각본은 좋았으나 연출력부족이라 말하고싶다..그리고 마지막 독도씬은,왠지 심형래감독의 아리랑곡ost가 오버랩되네..억지감정부여~ㅋㅋ"
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,재밌네요 나쁘지않았어요
정도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=193686&target=after,1,이런거 진짜 잘안쓰는데 이영화 그냥 재미가없음
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,2,"이레 멋있어 언니는 너한테 입덕했다,,,"
반도,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185917&target=after,10,다들 재미없다고 난리치는걸 보고 봐서 그런가 전 재미있게 봤어요 차 액션이 말도 안되게 뛰어나긴한데 솔직히 좀비있는데 맨몸으로 싸울 순 없잖아요..눈물이 많은 저는 처음부터 끝까지 눈물이 멈출 틈이 없었습니다.. 아 참 악역으로 나오신 구교환 배우님이 너무 잘생기셔서 용서할뻔 했네요..ㅎ 강동원 배우님이 군인 출신이었다는 설정이 있어서 좀 안심(?)하고 봤어요 다들 즐감하세요
강철비2: 정상회담,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188909&target=after,1,....의문을 주는 영화
채피,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=116254&target=after,10,이렇게 좋은 영화가 왜 흥행하지 않았는지 이해가 되지 않는 부분입니다....ㅠㅠ
밤쉘: 세상을 바꾼 폭탄선언,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=191143&target=after,10,범죄자가 합당한 벌을 받는게 왜 이렇게 힘든건지
퍼펙트맨,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=180390&target=after,10,
매드맥스: 분노의 도로,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=77768&target=after,10,존잼 몇번째 다시 보는지 모르겠음
